Gene	RC1A	RC1B	RC2A	RC2B	RC3A	RC3B	RC4A	RC4B	RH1A	RH1B	RH2A	RH2B	RH3A	RH3B	RH4A	RH4B	YC0A	YC0B	YC1A	YC1B	YC2A	YC2B	YC3A	YC3B	YC4A	YC4B	YH1A	YH1B	YH2A	YH2B	YH3A	YH3B	YH4A	YH4B	YM9A	YM9B
CNAG_00633	16.5922	16.2339	17.3421	17.0123	15.6701	17.7814	14.9169	10.3914	3.45376	20.0758	11.5275	13.1685	4.58558	7.88024	4.89395	13.2012	5.59831	3.17906	15.9052	14.1889	41.2466	34.7966	40.9993	37.842	28.5568	24.4823	28.8576	20.4078	31.0972	25.3647	27.5382	24.8882	20.3229	18.0252	22.7925	27.1291
CNAG_00634	13.08098	16.074360000000002	24.8137	31.565600000000003	22.120289999999997	22.569499999999998	29.824099999999998	26.205199999999998	6.87491	17.7649	22.038089000000003	29.7184	9.92929	24.0672	13.123751	25.89487	13.13396	9.9864	23.783929999999998	12.2167	26.1563	27.8882	39.0629	30.8016	36.8957	39.1385	13.6108	7.18654	38.2848	32.56514	21.8247	36.295429999999996	31.5969	32.1469	22.4878	32.4899
CNAG_00635	9.30735	10.3098	21.1086	22.4519	18.9366	24.4876	24.4424	27.7348	4.5067	6.70048	23.9932	28.9143	9.96521	20.0626	9.89833	32.1427	13.7512	15.1112	12.1981	13.5929	20.1492	19.9567	30.5756	30.8779	26.5053	26.7821	11.6752	10.6512	22.5229	24.1459	29.1962	31.6983	25.9925	24.2289	21.1634	24.5484
CNAG_00636	1.96187	3.04048	7.08114	7.49873	4.50951	5.67093	7.06542	7.9384	0.664261	2.01548	2.67378	5.88873	2.32685	6.00707	2.23421	9.57343	3.22036	1.90875	3.52845	7.2375	11.8646	18.5167	13.9383	19.1383	13.6808	16.9813	6.84207	14.2033	8.85167	6.68954	7.20712	14.367	17.3758	13.8916	8.65598	12.3287
CNAG_00637	8.60947	13.9058	11.6162	3.19327	3.07553	2.27858	3.53621	1.86247	4.58157	13.9023	6.48404	10.0218	1.82376	14.1491	4.20923	15.0557	29.9721	30.2984	34.1415	37.6985	6.9947	2.08826	2.02855	0.368244	0.87559	0	22.2373	16.6787	4.6154	3.87943	1.2997	0.890609	0.601368	1.85561	0	1.4947
CNAG_00638	20.9244	22.4661	4.82454	13.3904	1.16875	2.73503	3.12192	2.00786	6.8822	8.35895	2.1554	10.0995	1.40629	8.49382	0.661413	10.6898	6.67934	17.6426	14.2736	25.5388	2.67546	1.12034	1.55452	1.08636	2.34558	1.65139	9.51265	14.4273	2.08568	5.20385	5.56365	7.20874	4.18419	3.97507	1.95153	5.06242
CNAG_00639	2.71025	0	3.86136	3.99698	6.09215	3.82342	8.18968	3.77602	6.89994	3.86463	4.79481	4.41703	0.863143	5.27283	3.57393	5.89254	2.62717	2.97774	7.05497	5.38444	27.1821	12.2881	10.4467	11.8585	17.5515	10.135	12.3279	5.79534	3.82261	14.9803	21.1048	4.49854	3.64267	7.21065	11.1	8.4292
CNAG_00640	254.935	293.868	513.877	691.209	631.784	935.884	808.121	1109.79	75.8976	325.014	255.403	510.542	211.6	521.547	106.797	302.385	221.782	88.2128	346.452	272.492	1014.74	991.068	2234.94	1707.63	2290.15	2280.13	435.312	388.988	961.291	1007.39	1533.28	2635.01	1901.68	1752.78	2566.1	2469.8
CNAG_00641	6.92711	9.38054	19.0997	14.6196	12.8069	14.5552	10.6159	13.7871	5.1399	13.4509	15.1942	15.9976	4.27607	11.616	7.12596	11.1553	10.4749	4.22115	9.4975	10.3341	31.3017	24.2244	28.4215	21.6559	20.3281	24.4203	15.1794	11.669	25.9525	23.9564	23.8821	25.8286	27.2283	18.9216	20.297	22.9959
CNAG_00642	3.39716	3.6199	4.69492	5.8245	6.24124	5.88617	4.68422	5.18221	2.27832	4.44978	7.52521	7.01695	2.24909	5.3674	3.93534	7.53998	6.9803	6.47228	4.69755	4.58976	6.43897	5.60494	7.02979	5.64734	6.06003	5.49098	4.5964	4.38866	11.1997	8.36507	8.82048	7.2288	7.00759	9.77707	4.408	5.6329
CNAG_00643	31.4889	32.4261	15.3188	11.8636	13.2891	10.7676	13.1223	8.8416	11.008	17.2193	22.3232	8.47755	18.4036	8.99973	25.1132	4.96661	22.4949	1.31339	27.9543	19.5668	34.1126	26.9942	34.9572	22.3504	21.8844	16.8903	33.1929	17.0836	37.4126	19.5051	25.5433	22.211	20.7086	19.6867	11.2635	17.8419
CNAG_00644	17.5694	25.8733	22.8413	45.6325	45.2362	38.5779	33.5159	25.3284	10.2398	34.3383	43.0522	41.4795	22.2525	29.9457	20.5265	32.4419	30.9159	22.8434	32.773	25.2409	23.5229	13.2401	28.6097	24.3473	22.1998	19.5497	18.1014	7.17128	31.4212	29.8681	23.2374	26.6515	29.0361	15.9611	18.4085	16.2354
CNAG_00645	14.6096	6.65767	20.217	24.4866	30.8945	19.7016	32.8627	18.9441	20.4107	18.1121	43.0453	30.8658	33.8347	18.959	59.6095	30.5708	30.0821	16.2364	5.01066	15.7929	10.1003	1.63928	22.2959	10.7956	25.7219	8.31902	12.3771	6.19848	16.5894	14.2086	9.5668	37.1336	16.2241	6.81894	13.2189	18.3571
CNAG_00647	82.2716	113.444	158.226	297.232	96.9374	157.001	201.98	174.566	26.4272	57.6016	82.2163	145.635	78.871	124.437	78.9941	201.369	114.442	56.6647	88.5029	144.801	287.247	254.622	282.935	256.025	241.929	165.804	207.976	210.446	220.55	177.385	230.856	160.188	213.946	164.55	105.959	108.109
CNAG_00648	9.18978	10.7287	2.35833	7.78412	6.36243	5.55896	15.8624	8.18694	5.03416	16.0023	6.49992	12.7691	4.84951	15.9791	8.36392	22.3667	5.05	19.887	34.2774	23.3663	14.6878	9.49236	3.19207	4.28172	3.48483	14.1087	35.8287	22.8184	22.4778	14.2422	9.5556	21.7381	8.59614	9.09141	12.412	8.85505
